SYMBOL,NAME
ABB,Abb India Ltd
AEGISLOG,Aegis Logistics Ltd
ARE&M,Amara Raja Energy & Mobility Ltd
AMBALALSA,Ambalal Sarabhai Enterprises Ltd
ANDHRAPET,Andhra Petrochemicals Ltd
ANSALAPI,Ansal Properties & Infrastructure Ltd
UTIQUE,Utique Enterprises Ltd
ARUNAHTEL,Aruna Hotels Ltd
BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd
ASIANHOTNR,Asian Hotels (North) Ltd
ATUL,Atul Ltd
ATVPR,Atv Projects India Ltd
BAJAJELEC,Bajaj Electricals Ltd
BAJAJHIND,Bajaj Hindusthan Sugar Ltd
FORCEMOT,Force Motors Ltd
BAJFINANCE,Bajaj Finance Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd
BANCOINDIA,Banco Products (India) Ltd
ABREL,Aditya Birla Real Estate Ltd
BANARISUG,Bannari Amman Sugars Ltd
BASF,Basf India Ltd
BATAINDIA,Bata India Ltd
BEML,Beml Ltd
BEL,Bharat Electronics Ltd
BHAGGAS,Bhagawati Gas Ltd
BEPL,Bhansali Engineering Polymers Ltd
BIHSPONG,Bihar Sponge Iron Ltd
BIRLACABLE,Birla Cable Ltd
BLUESTARCO,Blue Star Ltd
DISAQ,Disa India Ltd
QUESTCAP,Quest Capital Markets Ltd
BPL,Bpl Ltd
OAL,Oriental Aromatics Ltd
CENTEXT,Century Extrusions Ltd
CESC,Cesc Ltd
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd
EXIDEIND,Exide Industries Ltd
CIPLA,Cipla Ltd
DICIND,Dic India Ltd
CRISIL,Crisil Ltd
CGPOWER,Cg Power And Industrial Solutions Ltd
DABUR,Dabur India Ltd
DALMIASUG,Dalmia Bharat Sugar And Industries Ltd
ARVIND,Arvind Ltd
BHEL,Bharat Heavy Electricals Ltd
HINDPETRO,Hindustan Petroleum Corporation Ltd
IFCI,Ifci Ltd
MTNL,Mahanagar Telephone Nigam Ltd
MRPL,Mangalore Refinery And Petrochemicals Ltd
CHENNPETRO,Chennai Petroleum Corporation Ltd
SBIN,State Bank Of India
SAIL,Steel Authority Of India Ltd
TITAN,Titan Company Ltd
